IDEN;CLASS;AGE;SEX;SURV
P0492;2;1;1;0
P0493;2;1;1;0
P0494;2;1;0;1
P0495;2;1;0;1
P0496;2;1;0;1
P0497;2;1;0;1
P0498;2;1;0;1
P0499;2;1;0;1
P0500;2;1;0;1
P0501;2;1;0;1
P0502;2;1;0;1
P0503;2;1;0;1
P0504;2;1;0;1
P0505;2;1;0;1
P0506;2;1;0;1
P0507;2;1;0;1
P0508;2;1;0;1
P0509;2;1;0;1
P0510;2;1;0;1
P0511;2;1;0;1
P0512;2;1;0;1
P0513;2;1;0;1
P0514;2;1;0;1
P0515;2;1;0;1
P0516;2;1;0;1
P0517;2;1;0;1
P0518;2;1;0;1
P0519;2;1;0;1
P0520;2;1;0;1
P0521;2;1;0;1
P0522;2;1;0;1
P0523;2;1;0;1
P0524;2;1;0;1
P0525;2;1;0;1
P0526;2;1;0;1
P0527;2;1;0;1
P0528;2;1;0;1
P0529;2;1;0;1
P0530;2;1;0;1
P0531;2;1;0;1
P0532;2;1;0;1
P0533;2;1;0;1
P0534;2;1;0;1
P0535;2;1;0;1
P0536;2;1;0;1
P0537;2;1;0;1
P0538;2;1;0;1
P0539;2;1;0;1
P0540;2;1;0;1
P0541;2;1;0;1
P0542;2;1;0;1
P0543;2;1;0;1
P0544;2;1;0;1
P0545;2;1;0;1
P0546;2;1;0;1
P0547;2;1;0;1
P0548;2;1;0;1
P0549;2;1;0;1
P0550;2;1;0;1
P0551;2;1;0;1
P0552;2;1;0;1
P0553;2;1;0;1
P0554;2;1;0;1
P0555;2;1;0;1
P0556;2;1;0;1
P0557;2;1;0;1
P0558;2;1;0;1
P0559;2;1;0;1
P0560;2;1;0;1
P0561;2;1;0;1
P0562;2;1;0;1
P0563;2;1;0;1
P0564;2;1;0;1
P0565;2;1;0;1
P0566;2;1;0;1
P0567;2;1;0;1
P0568;2;1;0;1
P0569;2;1;0;1
P0570;2;1;0;1
P0571;2;1;0;1
P0572;2;1;0;1
P0573;2;1;0;1
P0574;2;1;0;0
P0575;2;1;0;0
P0576;2;1;0;0
P0577;2;1;0;0
P0578;2;1;0;0
P0579;2;1;0;0
P0580;2;1;0;0
P0581;2;1;0;0
P0582;2;1;0;0
P0583;2;1;0;0
P0584;2;1;0;0
P0585;2;1;0;0
P0586;2;1;0;0
P0587;2;0;1;1
P0588;2;0;1;1
P0589;2;0;1;1
P0590;2;0;1;1
P0591;2;0;1;1
P0592;2;0;1;1
P0593;2;0;1;1
P0594;2;0;1;1
P0595;2;0;1;1
P0596;2;0;1;1
P0597;2;0;1;1
P0598;2;0;0;1
P0599;2;0;0;1
P0600;2;0;0;1
P0601;2;0;0;1
P0602;2;0;0;1
P0603;2;0;0;1
P0604;2;0;0;1
P0605;2;0;0;1
P0606;2;0;0;1
P0607;2;0;0;1
P0608;2;0;0;1
P0609;2;0;0;1
P0610;2;0;0;1
P0611;3;1;1;1
P0612;3;1;1;1
P0613;3;1;1;1
P0614;3;1;1;1
P0615;3;1;1;1
P0616;3;1;1;1
P0617;3;1;1;1
P0618;3;1;1;1
P0619;3;1;1;1
P0620;3;1;1;1
P0621;3;1;1;1
P0622;3;1;1;1
P0623;3;1;1;1
P0624;3;1;1;1
P0625;3;1;1;1
P0626;3;1;1;1
P0627;3;1;1;1
P0628;3;1;1;1
P0629;3;1;1;1
P0630;3;1;1;1
P0631;3;1;1;1
P0632;3;1;1;1
P0633;3;1;1;1
P0634;3;1;1;1
P0635;3;1;1;1
P0636;3;1;1;1
P0637;3;1;1;1
P0638;3;1;1;1
P0639;3;1;1;1
P0640;3;1;1;1
P0641;3;1;1;1
P0642;3;1;1;1
P0643;3;1;1;1
P0644;3;1;1;1
P0645;3;1;1;1
P0646;3;1;1;1
P0647;3;1;1;1
P0648;3;1;1;1
P0649;3;1;1;1
P0650;3;1;1;1
P0651;3;1;1;1
P0652;3;1;1;1
P0653;3;1;1;1
P0654;3;1;1;1
P0655;3;1;1;1
P0656;3;1;1;1
P0657;3;1;1;1
P0658;3;1;1;1
P0659;3;1;1;1
P0660;3;1;1;1
P0661;3;1;1;1
P0662;3;1;1;1
P0663;3;1;1;1
P0664;3;1;1;1
P0665;3;1;1;1
P0666;3;1;1;1
P0667;3;1;1;1
P0668;3;1;1;1
P0669;3;1;1;1
P0670;3;1;1;1
P0671;3;1;1;1
P0672;3;1;1;1
P0673;3;1;1;1
P0674;3;1;1;1
P0675;3;1;1;1
P0676;3;1;1;1
P0677;3;1;1;1
P0678;3;1;1;1
P0679;3;1;1;1
P0680;3;1;1;1
P0681;3;1;1;1
P0682;3;1;1;1
P0683;3;1;1;1
P0684;3;1;1;1
P0685;3;1;1;1
P0686;3;1;1;0
P0687;3;1;1;0
P0688;3;1;1;0
P0689;3;1;1;0
P0690;3;1;1;0
P0691;3;1;1;0
P0692;3;1;1;0
P0693;3;1;1;0
P0694;3;1;1;0
P0695;3;1;1;0
P0696;3;1;1;0
P0697;3;1;1;0
P0698;3;1;1;0
P0699;3;1;1;0
P0700;3;1;1;0
P0701;3;1;1;0
P0702;3;1;1;0
P0703;3;1;1;0
P0704;3;1;1;0
P0705;3;1;1;0
P0706;3;1;1;0
P0707;3;1;1;0
P0708;3;1;1;0
P0709;3;1;1;0
P0710;3;1;1;0
P0711;3;1;1;0
P0712;3;1;1;0
P0713;3;1;1;0
P0714;3;1;1;0
P0715;3;1;1;0
P0716;3;1;1;0
P0717;3;1;1;0
P0718;3;1;1;0
P0719;3;1;1;0
P0720;3;1;1;0
P0721;3;1;1;0
P0722;3;1;1;0
P0723;3;1;1;0
P0724;3;1;1;0
P0725;3;1;1;0
P0726;3;1;1;0
P0727;3;1;1;0
P0728;3;1;1;0
P0729;3;1;1;0
P0730;3;1;1;0
P0731;3;1;1;0
P0732;3;1;1;0
P0733;3;1;1;0
P0734;3;1;1;0
P0735;3;1;1;0
P0736;3;1;1;0
P0737;3;1;1;0
P0738;3;1;1;0
P0739;3;1;1;0
P0740;3;1;1;0
P0741;3;1;1;0
P0742;3;1;1;0
P0743;3;1;1;0
P0744;3;1;1;0
P0745;3;1;1;0
P0746;3;1;1;0
P0747;3;1;1;0
P0748;3;1;1;0
P0749;3;1;1;0
P0750;3;1;1;0
P0751;3;1;1;0
P0752;3;1;1;0
P0753;3;1;1;0
P0754;3;1;1;0
P0755;3;1;1;0
P0756;3;1;1;0
P0757;3;1;1;0
P0758;3;1;1;0
P0759;3;1;1;0
P0760;3;1;1;0
P0761;3;1;1;0
P0762;3;1;1;0
P0763;3;1;1;0
P0764;3;1;1;0
P0765;3;1;1;0
P0766;3;1;1;0
P0767;3;1;1;0
P0768;3;1;1;0
P0769;3;1;1;0
P0770;3;1;1;0
P0771;3;1;1;0
P0772;3;1;1;0
P0773;3;1;1;0
P0774;3;1;1;0
P0775;3;1;1;0
P0776;3;1;1;0
P0777;3;1;1;0
P0778;3;1;1;0
P0779;3;1;1;0
P0780;3;1;1;0
P0781;3;1;1;0
P0782;3;1;1;0
P0783;3;1;1;0
P0784;3;1;1;0
P0785;3;1;1;0
P0786;3;1;1;0
P0787;3;1;1;0
P0788;3;1;1;0
P0789;3;1;1;0
P0790;3;1;1;0
P0791;3;1;1;0
P0792;3;1;1;0
P0793;3;1;1;0
P0794;3;1;1;0
P0795;3;1;1;0
P0796;3;1;1;0
P0797;3;1;1;0
P0798;3;1;1;0
P0799;3;1;1;0
P0800;3;1;1;0
P0801;3;1;1;0
P0802;3;1;1;0
P0803;3;1;1;0
P0804;3;1;1;0
P0805;3;1;1;0
P0806;3;1;1;0
P0807;3;1;1;0
P0808;3;1;1;0
P0809;3;1;1;0
P0810;3;1;1;0
P0811;3;1;1;0
P0812;3;1;1;0
P0813;3;1;1;0
P0814;3;1;1;0
P0815;3;1;1;0
P0816;3;1;1;0
P0817;3;1;1;0
P0818;3;1;1;0
P0819;3;1;1;0
P0820;3;1;1;0
P0821;3;1;1;0
P0822;3;1;1;0
P0823;3;1;1;0
P0824;3;1;1;0
P0825;3;1;1;0
P0826;3;1;1;0
P0827;3;1;1;0
P0828;3;1;1;0
P0829;3;1;1;0
P0830;3;1;1;0
P0831;3;1;1;0
P0832;3;1;1;0
P0833;3;1;1;0
P0834;3;1;1;0
P0835;3;1;1;0
P0836;3;1;1;0
P0837;3;1;1;0
P0838;3;1;1;0
P0839;3;1;1;0
P0840;3;1;1;0
P0841;3;1;1;0
P0842;3;1;1;0
P0843;3;1;1;0
P0844;3;1;1;0
P0845;3;1;1;0
P0846;3;1;1;0
P0847;3;1;1;0
P0848;3;1;1;0
P0849;3;1;1;0
P0850;3;1;1;0
P0851;3;1;1;0
P0852;3;1;1;0
P0853;3;1;1;0
P0854;3;1;1;0
P0855;3;1;1;0
P0856;3;1;1;0
P0857;3;1;1;0
P0858;3;1;1;0
P0859;3;1;1;0
P0860;3;1;1;0
P0861;3;1;1;0
P0862;3;1;1;0
P0863;3;1;1;0
P0864;3;1;1;0
P0865;3;1;1;0
P0866;3;1;1;0
P0867;3;1;1;0
P0868;3;1;1;0
P0869;3;1;1;0
P0870;3;1;1;0
P0871;3;1;1;0
P0872;3;1;1;0
P0873;3;1;1;0
P0874;3;1;1;0
P0875;3;1;1;0
P0876;3;1;1;0
P0877;3;1;1;0
P0878;3;1;1;0
P0879;3;1;1;0
P0880;3;1;1;0
P0881;3;1;1;0
P0882;3;1;1;0
P0883;3;1;1;0
P0884;3;1;1;0
P0885;3;1;1;0
P0886;3;1;1;0
P0887;3;1;1;0
P0888;3;1;1;0
P0889;3;1;1;0
P0890;3;1;1;0
P0891;3;1;1;0
P0892;3;1;1;0
P0893;3;1;1;0
P0894;3;1;1;0
P0895;3;1;1;0
P0896;3;1;1;0
P0897;3;1;1;0
P0898;3;1;1;0
P0899;3;1;1;0
P0900;3;1;1;0
P0901;3;1;1;0
P0902;3;1;1;0
P0903;3;1;1;0
P0904;3;1;1;0
P0905;3;1;1;0
P0906;3;1;1;0
P0907;3;1;1;0
P0908;3;1;1;0
P0909;3;1;1;0
P0910;3;1;1;0
P0911;3;1;1;0
P0912;3;1;1;0
P0913;3;1;1;0
P0914;3;1;1;0
P0915;3;1;1;0
P0916;3;1;1;0
P0917;3;1;1;0
P0918;3;1;1;0
P0919;3;1;1;0
P0920;3;1;1;0
P0921;3;1;1;0
P0922;3;1;1;0
P0923;3;1;1;0
P0924;3;1;1;0
P0925;3;1;1;0
P0926;3;1;1;0
P0927;3;1;1;0
P0928;3;1;1;0
P0929;3;1;1;0
P0930;3;1;1;0
P0931;3;1;1;0
P0932;3;1;1;0
P0933;3;1;1;0
P0934;3;1;1;0
P0935;3;1;1;0
P0936;3;1;1;0
P0937;3;1;1;0
P0938;3;1;1;0
P0939;3;1;1;0
P0940;3;1;1;0
P0941;3;1;1;0
P0942;3;1;1;0
P0943;3;1;1;0
P0944;3;1;1;0
P0945;3;1;1;0
P0946;3;1;1;0
P0947;3;1;1;0
P0948;3;1;1;0
P0949;3;1;1;0
P0950;3;1;1;0
P0951;3;1;1;0
P0952;3;1;1;0
P0953;3;1;1;0
P0954;3;1;1;0
P0955;3;1;1;0
P0956;3;1;1;0
P0957;3;1;1;0
P0958;3;1;1;0
P0959;3;1;1;0
P0960;3;1;1;0
P0961;3;1;1;0
P0962;3;1;1;0
P0963;3;1;1;0
P0964;3;1;1;0
P0965;3;1;1;0
P0966;3;1;1;0
P0967;3;1;1;0
P0968;3;1;1;0
P0969;3;1;1;0
P0970;3;1;1;0
P0971;3;1;1;0
P0972;3;1;1;0
P0973;3;1;1;0
P0974;3;1;1;0
P0975;3;1;1;0
P0976;3;1;1;0
P0977;3;1;1;0
P0978;3;1;1;0
P0979;3;1;1;0
P0980;3;1;1;0
P0981;3;1;1;0
P0982;3;1;1;0
P0983;3;1;1;0
P0984;3;1;1;0
P0985;3;1;1;0
P0986;3;1;1;0
P0987;3;1;1;0
P0988;3;1;1;0
P0989;3;1;1;0
P0990;3;1;1;0
P0991;3;1;1;0
P0992;3;1;1;0
P0993;3;1;1;0
P0994;3;1;1;0
P0995;3;1;1;0
P0996;3;1;1;0
P0997;3;1;1;0
P0998;3;1;1;0
P0999;3;1;1;0
P1000;3;1;1;0
P1001;3;1;1;0
P1002;3;1;1;0
P1003;3;1;1;0
P1004;3;1;1;0
P1005;3;1;1;0
P1006;3;1;1;0
P1007;3;1;1;0
P1008;3;1;1;0
P1009;3;1;1;0
P1010;3;1;1;0
P1011;3;1;1;0
P1012;3;1;1;0
P1013;3;1;1;0
P1014;3;1;1;0
P1015;3;1;1;0
P1016;3;1;1;0
P1017;3;1;1;0
P1018;3;1;1;0
P1019;3;1;1;0
P1020;3;1;1;0
P1021;3;1;1;0
P1022;3;1;1;0
P1023;3;1;1;0
P1024;3;1;1;0
P1025;3;1;1;0
P1026;3;1;1;0
P1027;3;1;1;0
P1028;3;1;1;0
P1029;3;1;1;0
P1030;3;1;1;0
P1031;3;1;1;0
P1032;3;1;1;0
P1033;3;1;1;0
P1034;3;1;1;0
P1035;3;1;1;0
P1036;3;1;1;0
P1037;3;1;1;0
P1038;3;1;1;0
P1039;3;1;1;0
P1040;3;1;1;0
P1041;3;1;1;0
P1042;3;1;1;0
P1043;3;1;1;0
P1044;3;1;1;0
P1045;3;1;1;0
P1046;3;1;1;0
P1047;3;1;1;0
P1048;3;1;1;0
P1049;3;1;1;0
P1050;3;1;1;0
P1051;3;1;1;0
P1052;3;1;1;0
P1053;3;1;1;0
P1054;3;1;1;0
P1055;3;1;1;0
P1056;3;1;1;0
P1057;3;1;1;0
P1058;3;1;1;0
P1059;3;1;1;0
P1060;3;1;1;0
P1061;3;1;1;0
P1062;3;1;1;0
P1063;3;1;1;0
P1064;3;1;1;0
P1065;3;1;1;0
P1066;3;1;1;0
P1067;3;1;1;0
P1068;3;1;1;0
P1069;3;1;1;0
P1070;3;1;1;0
P1071;3;1;1;0
P1072;3;1;1;0
P1073;3;1;0;1
P1074;3;1;0;1
P1075;3;1;0;1
P1076;3;1;0;1
P1077;3;1;0;1
P1078;3;1;0;1
P1079;3;1;0;1
P1080;3;1;0;1
P1081;3;1;0;1
P1082;3;1;0;1
P1083;3;1;0;1
P1084;3;1;0;1
P1085;3;1;0;1
P1086;3;1;0;1
P1087;3;1;0;1
P1088;3;1;0;1
P1089;3;1;0;1
P1090;3;1;0;1
P1091;3;1;0;1
P1092;3;1;0;1
P1093;3;1;0;1
P1094;3;1;0;1
P1095;3;1;0;1
P1096;3;1;0;1
P1097;3;1;0;1
P1098;3;1;0;1
P1099;3;1;0;1
P1100;3;1;0;1
P1101;3;1;0;1
P1102;3;1;0;1
P1103;3;1;0;1
P1104;3;1;0;1
P1105;3;1;0;1
P1106;3;1;0;1
P1107;3;1;0;1
P1108;3;1;0;1
P1109;3;1;0;1
P1110;3;1;0;1
P1111;3;1;0;1
P1112;3;1;0;1
P1113;3;1;0;1
P1114;3;1;0;1
P1115;3;1;0;1
P1116;3;1;0;1
P1117;3;1;0;1
P1118;3;1;0;1
P1119;3;1;0;1
P1120;3;1;0;1
P1121;3;1;0;1
P1122;3;1;0;1
P1123;3;1;0;1
P1124;3;1;0;1
P1125;3;1;0;1
P1126;3;1;0;1
P1127;3;1;0;1
P1128;3;1;0;1
P1129;3;1;0;1
P1130;3;1;0;1
P1131;3;1;0;1
P1132;3;1;0;1
P1133;3;1;0;1
P1134;3;1;0;1
P1135;3;1;0;1
P1136;3;1;0;1
P1137;3;1;0;1
P1138;3;1;0;1
P1139;3;1;0;1
P1140;3;1;0;1
P1141;3;1;0;1
P1142;3;1;0;1
P1143;3;1;0;1
P1144;3;1;0;1
P1145;3;1;0;1
P1146;3;1;0;1
P1147;3;1;0;1
P1148;3;1;0;1
P1149;3;1;0;0
P1150;3;1;0;0
P1151;3;1;0;0
P1152;3;1;0;0
P1153;3;1;0;0
P1154;3;1;0;0
P1155;3;1;0;0
P1156;3;1;0;0
P1157;3;1;0;0
P1158;3;1;0;0
P1159;3;1;0;0
P1160;3;1;0;0
P1161;3;1;0;0
P1162;3;1;0;0
P1163;3;1;0;0
